id,name_JP,unknown_JP,unit_JP,naming,name,unit,unknown,category,***,sort,_tileType,_idRenderData,tiles,altTiles,anime,skins,size,colorMod,colorType,recipeKey,factory,components,disassemble,defMat,tierGroup,value,LV,chance,quality,HP,weight,electricity,trait,elements,range,attackType,offense,substats,defense,lightData,idExtra,idToggleExtra,idActorEx,idSound,tag,workTag,filter,roomName_JP,roomName,detail_JP,detail
YarCraft_amulet_necklace__q2,ネックレス 奇跡,,個,m,necklace good quality,,,amulet,,100,,obj_S flat,1221,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone,gem,money/3,plat/5",,gold,metal,100,33,1000,2,100,50,0,,,1,,,,,,,,,,"noDrop,noShop",,supply,,,どこにでもある首飾りだ。,A very common necklace.
YarCraft_amulet_necklace__q3,ネックレス 神器,,個,m,necklace good quality,,,amulet,,100,,obj_S flat,1221,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone,gem,money/3,plat/10",,gold,metal,100,53,1000,3,100,50,0,,,1,,,,,,,,,,"noDrop,noShop",,supply,,,どこにでもある首飾りだ。,A very common necklace.
YarCraft_amulet_jewel,細工首輪,,個,m,bejeweled amulet,,,amulet,,100,,obj_S flat,1318,,,,,100,,*,factory_accessory,"plank/2|cutstone|ingot|texture|bone,gem,money/37",,gold,metal,1800,5,1000,0,100,50,0,,,1,,,,,,,,,,"noDrop,noShop",,supply,,,磨き上げられた首輪だ。,"An amulet that shows one's wealth, often worn by the upper class."
YarCraft_amulet_jewel__q1,細工首輪 高品質,,個,m,bejeweled amulet good quality,,,amulet,,100,,obj_S flat,1318,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone,gem,money/37,plat",,gold,metal,1800,15,1000,1,100,50,0,,,1,,,,,,,,,,"noDrop,noShop",,supply,,,磨き上げられた首輪だ。,"An amulet that shows one's wealth, often worn by the upper class."
YarCraft_amulet_jewel__q2,細工首輪 奇跡,,個,m,bejeweled amulet good quality,,,amulet,,100,,obj_S flat,1318,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone,gem,money/37,plat/5",,gold,metal,1800,35,1000,2,100,50,0,,,1,,,,,,,,,,"noDrop,noShop",,supply,,,磨き上げられた首輪だ。,"An amulet that shows one's wealth, often worn by the upper class."
YarCraft_amulet_jewel__q3,細工首輪 神器,,個,m,bejeweled amulet good quality,,,amulet,,100,,obj_S flat,1318,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone,gem,money/37,plat/10",,gold,metal,1800,55,1000,3,100,50,0,,,1,,,,,,,,,,"noDrop,noShop",,supply,,,磨き上げられた首輪だ。,"An amulet that shows one's wealth, often worn by the upper class."
YarCraft_amulet_charm,お守り,,個,m,charm,,,amulet,,100,,obj_S flat,1317,,,,,100,,*,factory_accessory,"plank/2|cutstone|ingot|texture|bone,gem,money/11",,gold,metal,500,9,1000,0,100,50,0,,,1,,"0,0,0,3",,,,,,,,"noDrop,noShop",,supply,,,想いのこめられた首輪だ。,A good luck charm.
YarCraft_amulet_charm__q1,お守り 高品質,,個,m,charm good quality,,,amulet,,100,,obj_S flat,1317,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone,gem,money/11,plat",,gold,metal,500,19,1000,1,100,50,0,,,1,,"0,0,0,3",,,,,,,,"noDrop,noShop",,supply,,,想いのこめられた首輪だ。,A good luck charm.
YarCraft_amulet_charm__q2,お守り 奇跡,,個,m,charm good quality,,,amulet,,100,,obj_S flat,1317,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone,gem,money/11,plat/5",,gold,metal,500,39,1000,2,100,50,0,,,1,,"0,0,0,3",,,,,,,,"noDrop,noShop",,supply,,,想いのこめられた首輪だ。,A good luck charm.
YarCraft_amulet_charm__q3,お守り 神器,,個,m,charm good quality,,,amulet,,100,,obj_S flat,1317,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone,gem,money/11,plat/10",,gold,metal,500,59,1000,3,100,50,0,,,1,,"0,0,0,3",,,,,,,,"noDrop,noShop",,supply,,,想いのこめられた首輪だ。,A good luck charm.
YarCraft_amulet_armored,首当て,,個,m,neck guard,,,amulet,,100,,obj_S flat,1316,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone,gem,money/25",,gold,metal,1200,12,1000,0,100,50,0,,,1,,,,"0,3",,,,,,"noDrop,noShop",,supply,,,身を守る為の首輪だ。,Sometimes the only thing between an enemy sword and your neck.
YarCraft_amulet_armored__q1,首当て 高品質,,個,m,neck guard good quality,,,amulet,,100,,obj_S flat,1316,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone,gem,money/25,plat",,gold,metal,1200,22,1000,1,100,50,0,,,1,,,,"0,3",,,,,,"noDrop,noShop",,supply,,,身を守る為の首輪だ。,Sometimes the only thing between an enemy sword and your neck.
YarCraft_amulet_armored__q2,首当て 奇跡,,個,m,neck guard good quality,,,amulet,,100,,obj_S flat,1316,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone,gem,money/25,plat/5",,gold,metal,1200,42,1000,2,100,50,0,,,1,,,,"0,3",,,,,,"noDrop,noShop",,supply,,,身を守る為の首輪だ。,Sometimes the only thing between an enemy sword and your neck.
YarCraft_amulet_armored__q3,首当て 神器,,個,m,neck guard good quality,,,amulet,,100,,obj_S flat,1316,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone,gem,money/25,plat/10",,gold,metal,1200,62,1000,3,100,50,0,,,1,,,,"0,3",,,,,,"noDrop,noShop",,supply,,,身を守る為の首輪だ。,Sometimes the only thing between an enemy sword and your neck.
YarCraft_amulet_talisman,護符,,個,m,talisman,,,amulet,,100,,obj_S flat,1315,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone,gem,money/37",,gold,metal,1800,28,1000,0,100,50,0,,,1,,,,"4,0",,,,,,"noDrop,noShop",,supply,,,魔力のこめられた首輪だ。,A talisman said to ward off evil.
YarCraft_amulet_talisman__q1,護符 高品質,,個,m,talisman good quality,,,amulet,,100,,obj_S flat,1315,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone,gem,money/37,plat",,gold,metal,1800,38,1000,1,100,50,0,,,1,,,,"4,0",,,,,,"noDrop,noShop",,supply,,,魔力のこめられた首輪だ。,A talisman said to ward off evil.
YarCraft_amulet_talisman__q2,護符 奇跡,,個,m,talisman good quality,,,amulet,,100,,obj_S flat,1315,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone,gem,money/37,plat/5",,gold,metal,1800,58,1000,2,100,50,0,,,1,,,,"4,0",,,,,,"noDrop,noShop",,supply,,,魔力のこめられた首輪だ。,A talisman said to ward off evil.
YarCraft_amulet_talisman__q3,護符 神器,,個,m,talisman good quality,,,amulet,,100,,obj_S flat,1315,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone,gem,money/37,plat/10",,gold,metal,1800,78,1000,3,100,50,0,,,1,,,,"4,0",,,,,,"noDrop,noShop",,supply,,,魔力のこめられた首輪だ。,A talisman said to ward off evil.
YarCraft_amulet_peridot,ペリドット,,個,m,peridot,,,amulet,,100,,obj_S flat,1314,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone,gem,money/49",,gold,metal,2400,32,1000,0,100,50,0,,,1,,"0,0,4,0",,,,,,,,"noDrop,noShop",,supply,,,宝石のついた首輪だ。,A gem attached to a neck chain.
YarCraft_amulet_peridot__q1,ペリドット 高品質,,個,m,peridot good quality,,,amulet,,100,,obj_S flat,1314,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone,gem,money/49,plat",,gold,metal,2400,42,1000,1,100,50,0,,,1,,"0,0,4,0",,,,,,,,"noDrop,noShop",,supply,,,宝石のついた首輪だ。,A gem attached to a neck chain.
YarCraft_amulet_peridot__q2,ペリドット 奇跡,,個,m,peridot good quality,,,amulet,,100,,obj_S flat,1314,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone,gem,money/49,plat/5",,gold,metal,2400,62,1000,2,100,50,0,,,1,,"0,0,4,0",,,,,,,,"noDrop,noShop",,supply,,,宝石のついた首輪だ。,A gem attached to a neck chain.
YarCraft_amulet_peridot__q3,ペリドット 神器,,個,m,peridot good quality,,,amulet,,100,,obj_S flat,1314,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone,gem,money/49,plat/10",,gold,metal,2400,82,1000,3,100,50,0,,,1,,"0,0,4,0",,,,,,,,"noDrop,noShop",,supply,,,宝石のついた首輪だ。,A gem attached to a neck chain.
YarCraft_ring_engagement,結婚指輪,,個,m,engagement ring,,,ring,,100,,obj_S flat,1217,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone,gem,money/61",,gold,metal,3000,18,200,0,100,50,0,,,1,,,,,,,,,,"gift,noDrop,noShop",,,,,あげた人との友好度を上げる。返ってくることはない。,A ring given to show one's intent to marry.
YarCraft_ring_engagement__q1,結婚指輪 高品質,,個,m,engagement ring good quality,,,ring,,100,,obj_S flat,1217,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone,gem,money/61,plat",,gold,metal,3000,28,200,1,100,50,0,,,1,,,,,,,,,,"gift,noDrop,noShop",,,,,あげた人との友好度を上げる。返ってくることはない。,A ring given to show one's intent to marry.
YarCraft_ring_engagement__q2,結婚指輪 奇跡,,個,m,engagement ring good quality,,,ring,,100,,obj_S flat,1217,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone,gem,money/61,plat/5",,gold,metal,3000,48,200,2,100,50,0,,,1,,,,,,,,,,"gift,noDrop,noShop",,,,,あげた人との友好度を上げる。返ってくることはない。,A ring given to show one's intent to marry.
YarCraft_ring_engagement__q3,結婚指輪 神器,,個,m,engagement ring good quality,,,ring,,100,,obj_S flat,1217,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone,gem,money/61,plat/10",,gold,metal,3000,68,200,3,100,50,0,,,1,,,,,,,,,,"gift,noDrop,noShop",,,,,あげた人との友好度を上げる。返ってくることはない。,A ring given to show one's intent to marry.
YarCraft_ring_decorative,装飾の指輪,,個,m,decorative ring,,,ring,,100,,obj_S flat,1215,,,,,100,,*,factory_accessory,"plank/2|cutstone|ingot|texture|bone,gem,money/31",,gold,metal,1500,1,1000,0,100,50,0,,,1,,,,,,,,,,"noDrop,noShop",,,,,幾つかの装飾がされた指輪だ。,A pretty ring.
YarCraft_ring_decorative__q1,装飾の指輪 高品質,,個,m,decorative ring good quality,,,ring,,100,,obj_S flat,1215,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone,gem,money/31,plat",,gold,metal,1500,11,1000,1,100,50,0,,,1,,,,,,,,,,"noDrop,noShop",,,,,幾つかの装飾がされた指輪だ。,A pretty ring.
YarCraft_ring_decorative__q2,装飾の指輪 奇跡,,個,m,decorative ring good quality,,,ring,,100,,obj_S flat,1215,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone,gem,money/31,plat/5",,gold,metal,1500,31,1000,2,100,50,0,,,1,,,,,,,,,,"noDrop,noShop",,,,,幾つかの装飾がされた指輪だ。,A pretty ring.
YarCraft_ring_decorative__q3,装飾の指輪 神器,,個,m,decorative ring good quality,,,ring,,100,,obj_S flat,1215,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone,gem,money/31,plat/10",,gold,metal,1500,51,1000,3,100,50,0,,,1,,,,,,,,,,"noDrop,noShop",,,,,幾つかの装飾がされた指輪だ。,A pretty ring.
YarCraft_ring,指輪,,個,m,ring,,,ring,,100,,obj_S flat,1214,,,,,100,,*,factory_accessory,"plank/2|cutstone|ingot|texture|bone,gem,money/16",,gold,metal,750,10,1000,0,100,50,0,,,1,,,,,,,,,,"noDrop,noShop",,,,,指にはめる輪だ。,A plain ring.
YarCraft_ring__q1,指輪 高品質,,個,m,ring good quality,,,ring,,100,,obj_S flat,1214,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone,gem,money/16,plat",,gold,metal,750,20,1000,1,100,50,0,,,1,,,,,,,,,,"noDrop,noShop",,,,,指にはめる輪だ。,A plain ring.
YarCraft_ring__q2,指輪 奇跡,,個,m,ring good quality,,,ring,,100,,obj_S flat,1214,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone,gem,money/16,plat/5",,gold,metal,750,40,1000,2,100,50,0,,,1,,,,,,,,,,"noDrop,noShop",,,,,指にはめる輪だ。,A plain ring.
YarCraft_ring__q3,指輪 神器,,個,m,ring good quality,,,ring,,100,,obj_S flat,1214,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone,gem,money/16,plat/10",,gold,metal,750,60,1000,3,100,50,0,,,1,,,,,,,,,,"noDrop,noShop",,,,,指にはめる輪だ。,A plain ring.
YarCraft_ring_speed,スピードの指輪,,個,,speed ring,,,ring,,100,,obj_S flat,1220,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone,gem/2,money/1601,money2/17",,gold,metal,80000,25,30,0,100,50,0,,SPD/20,1,,,,,,,,,,"noDrop,noShop",,,,,速度が上昇する指輪だ。,A rare magical ring that increases your speed.
YarCraft_ring_speed__q1,スピードの指輪 高品質,,個,,speed ring good quality,,,ring,,100,,obj_S flat,1220,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone,gem/2,money/1601,money2/17,plat",,gold,metal,80000,35,30,1,100,50,0,,SPD/20,1,,,,,,,,,,"noDrop,noShop",,,,,速度が上昇する指輪だ。,A rare magical ring that increases your speed.
YarCraft_ring_speed__q2,スピードの指輪 奇跡,,個,,speed ring good quality,,,ring,,100,,obj_S flat,1220,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone,gem/2,money/1601,money2/17,plat/5",,gold,metal,80000,55,30,2,100,50,0,,SPD/20,1,,,,,,,,,,"noDrop,noShop",,,,,速度が上昇する指輪だ。,A rare magical ring that increases your speed.
YarCraft_ring_speed__q3,スピードの指輪 神器,,個,,speed ring good quality,,,ring,,100,,obj_S flat,1220,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone,gem/2,money/1601,money2/17,plat/10",,gold,metal,80000,75,30,3,100,50,0,,SPD/20,1,,,,,,,,,,"noDrop,noShop",,,,,速度が上昇する指輪だ。,A rare magical ring that increases your speed.
YarCraft_ring_aurora,オーロラリング,,個,,aurora ring,,,ring,,100,,obj_S flat,1219,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone,gem/2,money/601,money2/7",,gold,metal,30000,20,30,0,100,50,0,,resWeather/10,1,,,,"2,2",,,,,,"noDrop,noShop",,,,,悪天候でも歩みが遅れなくなる指輪だ。,Protects you from bad weather.
YarCraft_ring_aurora__q1,オーロラリング 高品質,,個,,aurora ring good quality,,,ring,,100,,obj_S flat,1219,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone,gem/2,money/601,money2/7,plat",,gold,metal,30000,30,30,1,100,50,0,,resWeather/10,1,,,,"2,2",,,,,,"noDrop,noShop",,,,,悪天候でも歩みが遅れなくなる指輪だ。,Protects you from bad weather.
YarCraft_ring_aurora__q2,オーロラリング 奇跡,,個,,aurora ring good quality,,,ring,,100,,obj_S flat,1219,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone,gem/2,money/601,money2/7,plat/5",,gold,metal,30000,50,30,2,100,50,0,,resWeather/10,1,,,,"2,2",,,,,,"noDrop,noShop",,,,,悪天候でも歩みが遅れなくなる指輪だ。,Protects you from bad weather.
YarCraft_ring_aurora__q3,オーロラリング 神器,,個,,aurora ring good quality,,,ring,,100,,obj_S flat,1219,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone,gem/2,money/601,money2/7,plat/10",,gold,metal,30000,70,30,3,100,50,0,,resWeather/10,1,,,,"2,2",,,,,,"noDrop,noShop",,,,,悪天候でも歩みが遅れなくなる指輪だ。,Protects you from bad weather.
YarCraft_ring_armored,指当て,,個,m,armored ring,,,ring,,100,,obj_S flat,1218,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone,gem,money/17",,gold,metal,820,16,1000,0,100,50,0,,,1,,,,"0,2",,,,,,"noDrop,noShop",,,,,指にはめる加工品だ。,Protects a portion of your finger.
YarCraft_ring_armored__q1,指当て 高品質,,個,m,armored ring good quality,,,ring,,100,,obj_S flat,1218,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone,gem,money/17,plat",,gold,metal,820,26,1000,1,100,50,0,,,1,,,,"0,2",,,,,,"noDrop,noShop",,,,,指にはめる加工品だ。,Protects a portion of your finger.
YarCraft_ring_armored__q2,指当て 奇跡,,個,m,armored ring good quality,,,ring,,100,,obj_S flat,1218,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone,gem,money/17,plat/5",,gold,metal,820,46,1000,2,100,50,0,,,1,,,,"0,2",,,,,,"noDrop,noShop",,,,,指にはめる加工品だ。,Protects a portion of your finger.
YarCraft_ring_armored__q3,指当て 神器,,個,m,armored ring good quality,,,ring,,100,,obj_S flat,1218,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone,gem,money/17,plat/10",,gold,metal,820,66,1000,3,100,50,0,,,1,,,,"0,2",,,,,,"noDrop,noShop",,,,,指にはめる加工品だ。,Protects a portion of your finger.
YarCraft_ring_composite,合金指輪,,個,m,composite ring,,,ring,,100,,obj_S flat,1216,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone,gem,money/39",,gold,metal,1900,20,1000,0,100,50,0,,,1,,"0,0,0,2",,,,,,,,"noDrop,noShop",,,,,固い指輪だ。,A ring made out of composite.
YarCraft_ring_composite__q1,合金指輪 高品質,,個,m,composite ring good quality,,,ring,,100,,obj_S flat,1216,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone,gem,money/39,plat",,gold,metal,1900,30,1000,1,100,50,0,,,1,,"0,0,0,2",,,,,,,,"noDrop,noShop",,,,,固い指輪だ。,A ring made out of composite.
YarCraft_ring_composite__q2,合金指輪 奇跡,,個,m,composite ring good quality,,,ring,,100,,obj_S flat,1216,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone,gem,money/39,plat/5",,gold,metal,1900,50,1000,2,100,50,0,,,1,,"0,0,0,2",,,,,,,,"noDrop,noShop",,,,,固い指輪だ。,A ring made out of composite.
YarCraft_ring_composite__q3,合金指輪 神器,,個,m,composite ring good quality,,,ring,,100,,obj_S flat,1216,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone,gem,money/39,plat/10",,gold,metal,1900,70,1000,3,100,50,0,,,1,,"0,0,0,2",,,,,,,,"noDrop,noShop",,,,,固い指輪だ。,A ring made out of composite.
